AllName,PlayerPage,CurrentID,Birthdate,Country,Nationality,Residency,Birthdate__precision
MaHa,MaHa,MaHa,1995-11-07,South Korea,,Korea,1
Maidong,Kylin,Kylin,1990-12-22,China,,China,1
Mala,DanChung,DanChung,1996-01-25,South Korea,,Korea,1
Malrang,Malrang,Malrang,2000-02-09,South Korea,,Korea,1
Maple (Huang Yi-Tang),Maple (Huang Yi-Tang),Maple,1997-10-10,Taiwan,,Asia Pacific,1
MapSSi,MapSSi,MapSSi,2001-03-14,South Korea,,Korea,1
March,Deemo,Deemo,1995-03-15,China,,China,1
Marge,Marge,Marge,1997-06-11,China,,China,1
MaRin,MaRin,MaRin,1991-02-12,South Korea,,Korea,1
Mark (Ling Xu),Mark (Ling Xu),Mark,1999-05-20,China,,China,1
Martin (Tan Qi),Martin (Tan Qi),Martin,1997-07-12,China,,China,1
Mata,Mata,Mata,1994-02-27,South Korea,,Korea,1
Max (Jeong Jong-bin),Max (Jeong Jong-bin),Max,1996-05-30,South Korea,,Korea,1
Max (Li Xiao-Qiang),Poge,poge,,China,,China,
Megan,Baolan,Baolan,1999-07-16,China,,China,1
Meiko,Meiko,Meiko,1998-06-06,China,,China,1
Melody (Liu Yi-Fan),Melody (Liu Yi-Fan),melody,1999-07-29,China,,China,1
Melon (Zhong Wang),Melon (Zhong Wang),Melon,1995-10-26,China,,China,1
Memory,Memory,Memory,1997-10-12,China,,China,1
Meow,New,New,1998-09-01,China,,China,1
Meteor,Meteor,Meteor,1999-12-26,China,,China,1
Metoer,Meteor,Meteor,1999-12-26,China,,China,1
Mia,Mia,Mia,1998-11-03,South Korea,,Korea,1
Miaoniu,Miaoniu,Miaoniu,2001-05-20,China,,China,1
Michi,Michi,Michi,,China,,China,
Mickey (Son Young-min),Mickey (Son Young-min),Mickey,1997-07-15,South Korea,,Korea,1
Mightybear,Mightybear,Mightybear,1995-09-06,South Korea,,Korea,1
Mihile,Mihile,Mihile,2003-03-01,South Korea,,Korea,1
Ming (Shi Sen-Ming),Ming (Shi Sen-Ming),Ming,1998-12-22,China,,China,1
Minn,Humble (Huang Min-Min),Humble,1997-12-17,China,,China,1
Mint,Mint,Mint,1998-10-29,China,,China,1
Mireu,Mireu,Mireu,2001-09-20,South Korea,,Korea,1
MISSING,MISSING,MISSING,2001-05-26,China,,China,1
Mitsuki,Mitsuki,Mitsuki,2000-01-18,China,,China,1
Mitty,Fireloli,Fireloli,1996-05-28,China,,China,1
Mlxg,Mlxg,Mlxg,1996-05-01,China,,China,1
Mni,Mni,Mni,1994-03-14,China,,China,1
Mo,Mo,Mo,,China,,China,
Moham,Moham,Moham,2002-08-08,South Korea,,Korea,1
Mole,Mole,Mole,2000-09-10,China,,China,1
MONG,Alphamong,Alphamong,1998-10-24,South Korea,,Korea,1
Monki,Monki,Monki,2004-02-16,China,,China,1
MooJin,MooJin,MooJin,1998-04-09,South Korea,,Korea,1
Moon (Gu Yue-Ze-Yu),Moon (Gu Yue-Ze-Yu),Moon,,China,,China,
Mor,Mor,Mor,1993-01-18,China,,China,1
Morgan,Morgan,Morgan,2001-09-26,South Korea,,Korea,1
Mortred,Mortred,mortred,,China,,China,
MorZB,Mor,Mor,1993-01-18,China,,China,1
Motive,Motive,Motive,2001-01-08,South Korea,,Korea,1
Mountain (Xue Zhao-Hong),Mountain (Xue Zhao-Hong),Mountain,1995-02-22,Taiwan,,Asia Pacific,1
Mouse,Mouse,Mouse,1996-10-08,China,,China,1
Mowgli,Mowgli,Mowgli,1998-04-14,South Korea,,Korea,1
Moyan,Moyan,Moyan,2002-08-02,China,,China,1
Moyu,Moyu,Moyu,1997-08-23,China,,China,1
Mystic,Mystic,Mystic,1995-01-08,South Korea,,Korea,1
Naehyun,Naehyun,Naehyun,1996-02-07,South Korea,,Korea,1
NaMei,NaMei,NaMei,1993-05-04,China,,China,1
Nanzhu,Nanzhu,nanzhu,1998-01-23,China,,China,1
Natural,Ale,Ale,2001-07-23,China,,China,1
Natz,Natz,Natz,1996-02-12,South Korea,,Korea,1
New,New,New,1998-09-01,China,,China,1
Newt,Newt,Newt,1998-05-25,South Korea,,Korea,1
Niket,Niket,Niket,2003-11-26,China,,China,1
Ning,Ning,Ning,1998-03-12,China,,China,1
Ninja,Ninja,Ninja,,South Korea,,Korea,
Noah (Oh Hyeon-taek),Noah (Oh Hyeon-taek),Noah,2001-10-04,South Korea,,Korea,1
North (Zhang Yu-Ze),X41007,X41007,,China,,China,
Nova (Park Chan-ho),Nova (Park Chan-ho),Nova,1997-11-27,South Korea,,Korea,1
Nuclear,Nuclear,Nuclear,1997-05-19,South Korea,,Korea,1
Nuguri,Nuguri,Nuguri,1999-07-17,South Korea,,Korea,1
Ocean (Tang Hai-Qin),Papillon,papillon,,China,,China,
Ohq,Ohq,Ohq,1996-09-05,South Korea,,Korea,1
ON,ON,ON,2003-05-12,China,,China,1
Oner,Oner,Oner,2002-12-24,South Korea,,Korea,1
OnFleek,OnFleek,OnFleek,1997-12-20,South Korea,,Korea,1
Onion,Jotaro,Jotaro,1999-06-17,China,,China,1
Ophelia,Ophelia,Ophelia,2003-02-05,South Korea,,Korea,1
OTTO (Hou Guo-Yu),OTTO (Hou Guo-Yu),OTTO,1996-03-08,China,,China,1
Paduck,Paduck,Paduck,2005-02-12,South Korea,,Korea,1
PandaC,PandaC,PandaC,,China,,China,
Part,Part,Part,1995-02-12,South Korea,,Korea,1
Patch (Han Seung-min),Patch (Han Seung-min),Patch,2001-09-22,South Korea,,Korea,1
PawN,PawN,PawN,1997-01-26,South Korea,,Korea,1
Peach,Peach,Peach,2000-03-28,South Korea,,Korea,1
Peanut,Peanut,Peanut,1998-02-03,South Korea,,Korea,1
Peco (Yu Rui),Happy,Happy,1994-05-11,China,,China,1
Peng (Peng Yi-Bo),Peng (Peng Yi-Bo),Peng,1995-11-25,China,,China,1
Penguin (Zhao Shuai),Penguin (Zhao Shuai),Penguin,1997-07-07,China,,China,1
PentaQ,PentaQ,PentaQ,1995-10-11,China,,China,1
Pepper (Hu Zhi-Wei),Y1han,Y1han,1999-07-02,China,,China,1
PerfecT (Lee Seung-min),PerfecT (Lee Seung-min),PerfecT,2004-05-17,South Korea,,Korea,1
Peter (Jeong Yoon-su),Peter (Jeong Yoon-su),Peter,2003-04-28,South Korea,,Korea,1
Peyz,Peyz,Peyz,2005-12-05,South Korea,,Korea,1
Photic,Photic,Photic,2002-10-11,China,,China,1
Pilot (Na Woo-hyung),Pilot (Na Woo-hyung),Pilot,1995-12-04,South Korea,,Korea,1
Pinus,Crisp,Crisp,1998-08-20,China,,China,1
Pirean,Pirean,Pirean,1998-04-09,South Korea,,Korea,1
Pleata,Pleata,Pleata,2003-03-28,South Korea,,Korea,1
Plex (Bae Ho-young),Jett,Jett,2001-07-23,South Korea,,Korea,1
Poby,Poby,Poby,2006-02-07,South Korea,,Korea,1
Pokemon,Maizijian,Maizijian,1991-05-15,China,,China,1
Pollu,Pollu,Pollu,2006-01-07,South Korea,,Korea,1
Poss,Poss,Poss,1998-05-02,South Korea,,Korea,1
POUT,POUT,Pout,2003-10-03,South Korea,,Korea,1
PraY,PraY,PraY,1994-01-06,South Korea,,Korea,1
Prince (Lee Chae-hwan),Prince (Lee Chae-hwan),Prince,2000-04-05,South Korea,,Korea,1
Profit,Profit,Profit,1995-09-15,South Korea,,Korea,1
Proud,Proud,Proud,1998-10-26,South Korea,,Korea,1
Prove (Son Min-hyeong),Prove (Son Min-hyeong),Prove,2002-04-13,South Korea,,Korea,1
Pudding (Bi Hao-Tian),Yaoyao,yaoyao,2001-07-20,China,,China,1
Puff (Ding Wang),Puff (Ding Wang),Puff,1999-02-07,China,,China,1
Pullbae,Pullbae,Pullbae,2004-08-28,South Korea,,Korea,1
Punch,Punch,Punch,1998-06-06,South Korea,,Korea,1
Punished,Funny,Funny,1998-09-16,China,,China,1
Pure,Pure,Pure,1995-12-29,South Korea,,Korea,1
Pyl (Chen Bo),Pyl (Chen Bo),pyl,1994-11-06,China,,China,1
Pyosik,Pyosik,Pyosik,2000-03-12,South Korea,,Korea,1
Qing,Qing,Qing,2002-02-28,China,,China,1
Qingtian,Qingtian,Qingtian,2002-04-15,China,,China,1
QiuQiu (Zhang Ming),QiuQiu (Zhang Ming),QiuQiu,1998-04-17,China,,China,1
Quad,Quad,Quad,2002-08-25,South Korea,,Korea,1
Quan,Tbq,tbq,1996-08-27,China,,China,1
Quantum (Son Jeong-hwan),Quantum (Son Jeong-hwan),Quantum,2004-08-20,South Korea,,Korea,1
Quid,Quid,Quid,2004-04-27,South Korea,,Korea,1
Rabbit97,Zzz2,Zzz2,1997-04-19,China,,China,1
Rahel,Rahel,Rahel,2004-02-13,South Korea,,Korea,1
Rain (An Hyeon-guk),Rain (An Hyeon-guk),Rain,1996-08-30,South Korea,,Korea,1
Raise,Raise,Raise,1997-10-18,South Korea,,Korea,1
Raphael (Ko Jae-hyun),Raphael (Ko Jae-hyun),Raphael,,South Korea,,Korea,
Raptor (Jeon Eo-jin),Raptor (Jeon Eo-jin),Raptor,2004-11-15,South Korea,,Korea,1
Rascal,Rascal,Rascal,1997-10-16,South Korea,,Korea,1
Rather,Rather,Rather,1996-11-26,South Korea,,Korea,1
Ray,Ray,Ray,1998-03-15,South Korea,,Korea,1
RD,RD,RD,1993-10-19,Taiwan,,Asia Pacific,1
ReGank,ReGank,ReGank,1996-10-09,South Korea,,Korea,1
Reheal,Fate (Peng Jun-Jie),fate,1999-02-13,China,,China,1
RepubliC,Grail,Grail,1996-08-16,South Korea,,Korea,1
Rich (Lee Jae-won),Rich (Lee Jae-won),Rich,1998-02-16,South Korea,,Korea,1
Rio,Rio,Rio,,China,,China,
Rise (Zhang Sheng),Rise (Zhang Sheng),Rise,2002-06-11,China,,China,1
Roach,Roach,Roach,1999-01-31,South Korea,,Korea,1
Road (Yun Han-gil),Road (Yun Han-gil),Road,1995-09-30,South Korea,,Korea,1
Romantic,Romantic,Romantic,1993-08-03,China,,China,1
Rookie,Rookie,Rookie,1997-03-11,South Korea,,China,1
Route,Route,Route,1999-01-05,South Korea,,Korea,1
Ruby (Lee Sol-min),Ruby (Lee Sol-min),Ruby,1998-08-11,South Korea,,Korea,1
Ruler,Ruler,Ruler,1998-12-29,South Korea,,Korea,1
Ruo (Teng Yang-Tian-Xia),Ruo (Teng Yang-Tian-Xia),Ruo,1993-12-12,China,,China,1
Rush,Rush,Rush,1993-04-06,South Korea,,Korea,1
S1mlz,Smlz,Smlz,1997-09-24,China,,China,1
S4ve,Save,Save,1993-07-06,South Korea,,Korea,1
SamD,SamD,SamD,2001-03-14,South Korea,,Korea,1
Samver,Samver,Samver,2001-11-07,South Korea,,Korea,1
Sangyoon,Sangyoon,Sangyoon,1995-12-20,South Korea,,Korea,1
SaSin,SaSin,SaSin,1994-02-03,South Korea,,Korea,1
Sask,Sask,sask,1995-09-29,China,,China,1
Save,Save,Save,1993-07-06,South Korea,,Korea,1
Savoki,Savoki,Savoki,,China,,China,
Scenery,Juejue,Juejue,1998-09-12,China,,China,1
Score,Score,Score,1992-07-08,South Korea,,Korea,1
Scout,Scout,Scout,1998-03-14,South Korea,,China,1
Secret (Park Ki-sun),Secret (Park Ki-sun),Secret,1997-05-27,South Korea,,Korea,1
Seize,Seize,Seize,2000-12-07,South Korea,,Korea,1
Senan,Test Sup,Test Sup,2001-09-18,South Korea,,Korea,1
Seonbi (Koo Kwan-mo),Guwon,Guwon,2003-12-19,South Korea,,Korea,1
SeongHwan,SeongHwan,SeongHwan,1997-12-11,South Korea,,Korea,1
SeTab,SeTab,SeTab,2004-10-13,South Korea,,Korea,1
Shanks,Shanks,Shanks,2001-05-13,China,,China,1
Shaoye,Shaoye,Shaoye,2001-09-14,China,,China,1
Shenyi,Shenyi,Shenyi,2002-05-21,China,,China,1
ShiauC,ShiauC,ShiauC,1999-07-12,Taiwan,,Asia Pacific,1
ShowMaker,ShowMaker,ShowMaker,2000-07-22,South Korea,,Korea,1
Shy,Shy,Shy,1991-07-19,South Korea,,Korea,1
SinkDream,SinkDream,SinkDream,,China,,China,
Skatch,Gango,Gango,1997-05-16,South Korea,,Korea,1
Sks,Wisdomz,Wisdomz,1998-04-19,China,,China,1
Sky (Kim Ha-neul),Sky (Kim Ha-neul),Sky,1998-07-17,South Korea,,Korea,1
SOLKA,Quad,Quad,2002-08-25,South Korea,,Korea,1
SS (Seo Jin-sol),Ssol,Ssol,1998-03-04,South Korea,,Korea,1
Ssol,Ssol,Ssol,1998-03-04,South Korea,,Korea,1
SSUN (Kim Tae-yang),SSUN (Kim Tae-yang),SSUN,1997-11-20,South Korea,,Korea,1
Skye,Skye,Skye,,China,,China,
Smeb,Smeb,Smeb,1995-06-30,South Korea,,Korea,1
Smlz,Smlz,Smlz,1997-09-24,China,,China,1
Snoopy (Yang Yeo-myeong),Snoopy (Yang Yeo-myeong),Snoopy,1996-04-14,South Korea,,Korea,1
Snow (Wu Hao-Shun),Snow (Wu Hao-Shun),Snow,1999-01-10,China,,China,1
SnowFlower,SnowFlower,SnowFlower,1997-02-24,South Korea,,Korea,1
SoaR,SoaR,SoaR,1997-05-28,South Korea,,Korea,1
Soboro,Soboro,Soboro,2004-01-10,South Korea,,Korea,1
SofM,SofM,SofM,1998-02-05,Vietnam,,Asia Pacific,1
SoHwan,SoHwan,SoHwan,1996-10-24,South Korea,,Korea,1
Solokill,Solokill,Solokill,2001-10-13,Hong Kong,,Asia Pacific,1
Sora (Liu Zhi-Long),Sora (Liu Zhi-Long),Sora,1998-02-23,China,,China,1
Soul (Seo Hyeon-seok),Soul (Seo Hyeon-seok),Soul,1994-11-16,South Korea,,Korea,1
Soul (Zhou Feng),Soul (Zhou Feng),Soul,1996-11-05,China,,China,1
Soulmate,Soul (Zhou Feng),Soul,1996-11-05,China,,China,1
Southwind,Southwind,Southwind,1996-07-23,China,,China,1
Spirit,Spirit,Spirit,1996-07-01,South Korea,,Korea,1
Sponge,Sponge,Sponge,2004-07-25,South Korea,,Korea,1
Ssumday,Ssumday,Ssumday,1996-07-03,South Korea,,North America,1
Starlight,Starlight,Starlight,1996-09-27,China,,China,1
Starry,Starry,Starry,2004-10-14,China,,China,1
Stay (Guo Yi-Yang),Stay (Guo Yi-Yang),Stay,2003-01-19,China,,China,1
Stitch,Stitch,Stitch,1996-11-02,South Korea,,Korea,1
Strive,Strive,Strive,2002-08-28,China,,China,1
Styz,Styz,Styz,1995-04-25,China,,China,1
Summit,Summit,Summit,1998-12-08,South Korea,,Korea,1
Sw0rd,Sw0rd,Sw0rd,1997-06-16,South Korea,,Korea,1
Sweet (Lee Eun-teak),Sweet (Lee Eun-teak),Sweet,1995-07-11,South Korea,,Korea,1
Swift,Swift,Swift,1996-05-29,South Korea,,Korea,1
Sword (Choi Sung-won),Sw0rd,Sw0rd,1997-06-16,South Korea,,Korea,1
SwordArt,SwordArt,SwordArt,1996-12-21,Taiwan,,Asia Pacific,1
Sylvie,Sylvie,Sylvie,2002-12-04,South Korea,,Korea,1
Tabe,Tabe,Tabe,1991-01-18,Hong Kong,,China,1
Taeyoon (Kim Tae-yoon),Taeyoon (Kim Tae-yoon),Taeyoon,2002-06-02,South Korea,,Korea,1
Tale,Tale,tale,,China,,China,
TaNa,TaNa,TaNa,1999-12-11,South Korea,,Korea,1
Tangyuan,Tangyuan,Tangyuan,2004-01-30,China,,China,1
Tank,Tank,Tank,1995-11-18,South Korea,,Korea,1
Tarzan (Lee Seung-yong),Tarzan (Lee Seung-yong),Tarzan,1999-08-23,South Korea,,Korea,1
Tbq,Tbq,tbq,1996-08-27,China,,China,1
TcT,Mor,Mor,1993-01-18,China,,China,1
Teacherma,Teacherma,Teacherma,1999-06-19,China,,China,1
Teddy,Teddy,Teddy,1998-03-15,South Korea,,Korea,1
Teeen,Teeen,Teeen,2001-07-19,China,,China,1
Tempt,Tempt,Tempt,1998-05-13,South Korea,,Korea,1
Ten10,Ten10,Ten10,2001-09-23,South Korea,,Korea,1
Thal,Thal,Thal,1998-11-13,South Korea,,Korea,1
TheNiu,TheNiu,TheNiu,,China,,China,
TheShy,TheShy,TheShy,1999-11-11,South Korea,,Korea,1
Thesnake,Thesnake,Thesnake,,China,,China,
Tian,Tian,Tian,2000-07-24,China,,China,1
TianCi,Lcberg,lcberg,1999-01-03,China,,China,1
Tianzhen,Tianzhen,Tianzhen,2004-09-13,China,,China,1
Time (Tang Jing-Tai),Time (Tang Jing-Tai),Time,,China,,China,
TnT,Happy,Happy,1994-05-11,China,,China,1
Totoro (Eun Jong-seop),Totoro (Eun Jong-seop),Totoro,1996-05-06,South Korea,,Korea,1
TrAce,TrAce,TrAce,1989-11-02,South Korea,,Korea,1
Trick,Trick,Trick,1995-07-11,South Korea,,Korea,1
Trigger (Kim Eui-joo),Trigger (Kim Eui-joo),Trigger,2000-10-10,South Korea,,Korea,1
TusiN,TusiN,TusiN,1995-11-12,South Korea,,Korea,1
Twila,Twila,Twila,1998-12-07,China,,China,1
U,U,U,1993-09-04,China,,China,1
U Jun,Wiz,Wiz,1998-04-23,South Korea,,Korea,1
Ucal,Ucal,Ucal,2001-01-30,South Korea,,Korea,1
UmTi,UmTi,UmTi,1999-06-02,South Korea,,Korea,1
Uniboy,Uniboy,Uniboy,2001-03-03,Taiwan,,Asia Pacific,1
Untara,Untara,Untara,1996-12-31,South Korea,,Korea,1
Uzi (Jian Zi-Hao),Uzi (Jian Zi-Hao),Uzi,1997-04-05,China,,China,1
V,V,V,1994-10-25,China,,China,1
Vampire,Vampire,Vampire,2005-08-24,China,,China,1
Vasilii,Vas1lii,Vas1lii,1994-10-27,China,,China,1
VicLa,VicLa,VicLa,2003-11-27,South Korea,"South Korea,Japan",Korea,1
View,View,View,2002-07-30,China,,China,1
Viper (Park Do-hyeon),Viper (Park Do-hyeon),Viper,2000-10-19,South Korea,,Korea,1
Vsta,Vsta,Vsta,2000-10-03,South Korea,,Korea,1
Way (Han Gil),Way (Han Gil),Way,2002-06-29,South Korea,,Korea,1
Wayward,Wayward,Wayward,2001-06-23,China,,China,1
We1less,GodV (Wei Zhen),GodV,1997-07-16,China,,China,1
WeI (Wang Huan-Wei),Helper (Wang Huan-Wei),Helper,,China,,China,
Wei (Yan Yang-Wei),Wei (Yan Yang-Wei),Wei,2002-11-09,China,,China,1
Weiwei,Weiwei,Weiwei,2000-08-14,China,,China,1
WeiYan,WeiYan,WeiYan,,China,,China,
Wen (Liao Wen-Wei),Wen (Liao Wen-Wei),Wen,,China,,China,
West,West,West,1997-03-08,China,,China,1
Willer,Willer,Willer,2003-04-24,South Korea,,Korea,1
Windy,Windy,Windy,1997-09-09,China,,China,1
Winged,Winged,Winged,1992-08-20,South Korea,,Korea,1
Wings (Wang Shu-Kai),Wings (Wang Shu-Kai),Wings,2001-12-24,China,,China,1
Wink,Wink,Wink,1999-11-02,China,,China,1
Wizer,Wizer,Wizer,1998-11-29,South Korea,"South Korea,Brazil",Brazil,1
Wolf (Lee Jae-wan),Wolf (Lee Jae-wan),Wolf,1996-09-09,South Korea,,Korea,1
World6,World6,World6,1998-10-16,China,,China,1
Wraith,Wraith,Wraith,1995-09-28,South Korea,,Korea,1
Wuming (Wang Xin),Wuming (Wang Xin),Wuming,2000-05-27,China,,China,1
WuShuang,WuShuang,WuShuang,,China,,China,
WXZ,WXZ,WXZ,1988-01-03,China,,China,1
XBear,XBear,XBear,,China,,China,
XBY,XBY,XBY,2005-08-26,China,,China,1
Xiamu,Xiamu,Xiamu,,China,,China,
XiaoAL,Langx,Langx,1997-09-19,China,,China,1
Xiaobai,Xiaobai,Xiaobai,1999-02-15,China,,China,1
Xiaohan (Pan Han),Xiaohan (Pan Han),xiaohan,1999-08-04,China,,China,1
Xiaohao,Xiaohao,Xiaohao,2002-07-19,China,,China,1
Xiaohu,Xiaohu,Xiaohu,1998-01-28,China,,China,1
Xiaolaohu,Xiaolaohu,Xiaolaohu,2002-08-22,China,,China,1
Xiaopeng,Xiaopeng,xiaopeng,1997-12-01,China,,China,1
Xiaowei,Twila,Twila,1998-12-07,China,,China,1
Xiaoxiang,Xiaoxiang,Xiaoxiang,2002-03-18,China,,China,1
Xiaoxu,Xiaoxu,Xiaoxu,2003-09-11,China,,China,1
XiaoYao,XiaoYao,XiaoYao,1997-04-02,China,,China,1
Xiaoyu (Liang Jian),Aqiu,aqiu,1995-02-18,China,,China,1
Xing (Liu Jia-Xing),Xing (Liu Jia-Xing),Xing,2002-04-17,China,,China,1
XinLiu,XinLiu,XinLiu,2001-07-27,China,,China,1
XinMo,XinMo,XinMo,2000-02-17,China,,China,1
XLB,XLB,XLB,1999-08-06,China,,China,1
Xun,Xun,Xun,2002-02-05,China,,China,1
Bademan,Bademan,bademan,1998-06-21,China,,China,1
Beishang,Beishang,beishang,2000-10-15,China,,China,1
Bing (Feng Jin-Wei),Bing (Feng Jin-Wei),Bing,1994-10-07,China,,China,1
Bkr,Bkr,bkr,,China,,China,
Bless (Xiang Yi-Tong),Bless (Xiang Yi-Tong),bless,2000-11-14,China,,China,1
Can,Can,can,,China,,China,
Chen9,Chen9,chen9,1995-05-08,China,,China,1
Chenlun17,Chenlun17,chenlun17,2001-01-18,China,,China,1
Chimin,Chimin,chimin,,South Korea,,Korea,
Clx,Clx,clx,2000-02-03,China,,China,1
Deokdam,Deokdam,deokdam,2000-02-25,South Korea,,Korea,1
Dian,Dian,Dian,1996-06-22,China,,China,1
Fearness,Fearness,fearness,2002-03-18,China,,China,1
Frigid,Moyan,Moyan,2002-08-02,China,,China,1
GLFS,GLFS,GLFS,2006-04-06,China,,China,1
Gosu,Xero,Xero,1988-07-19,South Korea,,Korea,1
Haichao,Haichao,haichao,2003-04-17,China,,China,1
Haoye,Haoye,Haoye,2003-01-23,China,,China,1
Heal (Peng Jun-Jie),Fate (Peng Jun-Jie),fate,1999-02-13,China,,China,1
HU1,Hui (Lei Hui-Guo),Hui,1996-11-12,China,,China,1
Huanfeng,Huanfeng,huanfeng,2001-05-20,China,,China,1
IBoy,IBoy,iBoy,2000-07-12,China,,China,1
IcecoKe,IcecoKe,icecoKe,,China,,China,
Ikssu,Ikssu,ikssu,1996-10-22,South Korea,,Korea,1
Irma,Irma,irma,,China,,China,
Kaixuan,Kaixuan,Kaixuan,,China,,China,
Kane (Li Chi Hung),Kane (Li Chi Hung),kane,1994-07-20,Hong Kong,,China,1
Kelin,Kelin,kelin,,China,,China,
KRYST4L,KRYST4L,kRYST4L,1994-02-02,China,,China,1
L3est16,L3est16,l3est16,2001-01-13,China,,China,1
Milkyway,Milkyway,milkyway,2004-06-07,China,,China,1
Naiyou,Naiyou,naiyou,2004-10-19,China,,China,1
Neny,Neny,neny,2003-09-28,China,,China,1
Peace (Lin Shang-Ren),Peace (Lin Shang-Ren),Peace,2000-07-07,China,,China,1
Pinz,Pinz,pinz,2002-10-23,China,,China,1
Xintai,Xintai,Xintai,1995-08-19,China,,China,1
Xinyi,Ping,Xinyi,1995-04-04,China,,China,1
Xiyang,Xiyang,Xiyang,1994-05-18,China,,China,1
Xiye,Xiye,xiye,1997-08-06,China,,China,1
Xuan (Pi Xiao-Xuan),XuanXuanPi,XuanXuanPi,1997-10-22,China,,China,1
Xuan (Wu Zheng-Hang),Chenxuan,Chenxuan,2000-10-10,China,,Asia Pacific,1
XuanXuanPi,XuanXuanPi,XuanXuanPi,1997-10-22,China,,China,1
Xubin,Wynn,wynn,,China,,China,
Xuzhu,Daylight,Daylight,2000-05-02,China,,China,1
Xx (Xiong Yu-Long),Xx (Xiong Yu-Long),Xx,1997-06-18,China,,China,1
Xzz,Xzz,Xzz,2002-01-20,China,,China,1
Y1han,Y1han,Y1han,1999-07-02,China,,China,1
Yagao,Yagao,Yagao,1998-10-19,China,,China,1
Yaharong,Yaharong,Yaharong,2000-06-12,South Korea,,Korea,1
Yanxiang,Yanxiang,Yanxiang,2003-07-24,China,,China,1
Ye (Ji Xin-Yu),YeG,YeG,2001-11-13,China,,China,1
YeG,YeG,YeG,2001-11-13,China,,China,1
YeongJae (Ko Yeong-jae),YoungJae,YoungJae,2002-11-16,South Korea,,Korea,1
Yimeng,Yimeng,Yimeng,2000-11-14,China,,China,1
Yondu,Beyond (Kim Kyu-seok),Beyond,1997-08-18,South Korea,,Korea,1
Yoon,Yoon,Yoon,1996-07-04,South Korea,,Korea,1
Youdang,Youdang,Youdang,1999-11-01,China,,China,1
YoungJae,YoungJae,YoungJae,2002-11-16,South Korea,,Korea,1
YSKM,YSKM,YSKM,2004-02-11,Hong Kong,,China,1
Yu (Li Xin-Nan),Yu (Li Xin-Nan),Yu,1990-08-10,China,,China,1
Yueguan,Water (Fu Hui),Water,,China,,China,
Yuekai,Yuekai,Yuekai,2002-07-27,China,,China,1
Yui,Yui,Yui,1998-02-09,China,,China,1
Yuuki (Hu Hao-Ming),Yuuki (Hu Hao-Ming),Yuuki,1999-12-14,China,,China,1
Yuyanjia,Yuyanjia,yuyanjia,1997-08-30,China,,China,1
YuZhe,YuZhe,YuZhe,,China,,China,
ZangAo,ZangAo,ZangAo,,China,,China,
Zdz,Zdz,Zdz,2001-12-03,China,,China,1
Zeka (Kim Geon-woo),Zeka (Kim Geon-woo),Zeka,2002-11-28,South Korea,,Korea,1
Zenit,Zenit,Zenit,2000-05-08,South Korea,,Korea,1
Zero (Yoon Kyung-sup),Zero (Yoon Kyung-sup),zero,1994-07-16,South Korea,,Korea,1
Zest (Kim Dong-min),Zest (Kim Dong-min),Zest,2003-11-05,South Korea,,Korea,1
Zet,Zet,Zet,1997-08-21,South Korea,,Korea,1
Zeus,Zeus,Zeus,2004-01-31,South Korea,,Korea,1
Zhaoyun,Zhaoyun,Zhaoyun,2001-05-30,China,,China,1
Zhuo,Zhuo,Zhuo,2001-02-13,China,,China,1
Zika,Zika,Zika,2003-07-07,China,,China,1
Ziv (Chen Yi),Ziv (Chen Yi),Ziv,1994-12-24,Taiwan,,Asia Pacific,1
Zoom,Zoom,Zoom,1997-07-27,China,,China,1
Zorah,Zorah,Zorah,2003-05-08,China,,China,1
ZUIAN,ZUIAN,ZUIAN,2005-05-23,China,,China,1
ZWuJi,ZWuJi,ZWuJi,1998-09-29,China,,China,1
ZYF,Missia,Missia,2001-10-26,China,,China,1
Zz1tai,Zz1tai,Zz1tai,1997-08-25,China,,China,1
Zzitai,Zz1tai,Zz1tai,1997-08-25,China,,China,1
Zzr,Zzr,Zzr,1996-12-08,China,,China,1
Zzus,Zzus,Zzus,1998-08-30,South Korea,,Korea,1
Ppgod,Ppgod,ppgod,2000-03-31,China,,China,1
Pzx,Pzx,pzx,,China,,China,
Qi,Awei (Zhao A-Wei),Awei,1996-06-28,China,,China,1
Rat,Pqy,pqy,,China,,China,
San (Guo Jun-Liang),San (Guo Jun-Liang),san,1993-01-16,China,,China,1
Shad0w,Shad0w,Shad0w,2001-02-25,Italy,,China,1
Shanji,Shanji,shanji,2000-09-14,China,,China,1
Sheer,Sheer,sheer,2005-12-06,China,,China,1
Ss17GOD,Ss17,ss17,1993-02-06,China,,China,1
Vital,Vital,vital,2002-09-16,South Korea,,Korea,1
Wuxin,Wuxx,Wuxx,1996-01-10,China,,China,1
Wuxx,Wuxx,Wuxx,1996-01-10,China,,China,1
X1u,X1u,x1u,,China,,China,
Xiao7,Xiao7,xiao7,,China,,China,
Xiaocaobao,Xiaocaobao,xiaocaobao,2002-01-18,China,,China,1
Xiaofang,Xiaofang,xiaofang,2004-07-06,China,,China,1
Xiaohuangren,Xiaohuangren,xiaohuangren,2005-01-26,China,,China,1
Xiaoxi,Unicorn,unicorn,1996-09-17,China,,China,1
Xiaoyueji,Xiaoyueji,xiaoyueji,2002-12-12,China,,China,1
XQ,XQ,xQ,,China,,China,
Xqw,Xqw,xqw,2003-04-02,China,,China,1
