CanonicalPlayer,League,FirstTopTierYear,LastTopTierYear,TopTierYears
MadLife,LoL Champions Korea,2016,2016,2016
Maestro (Hu Jian-Xin),Tencent LoL Pro League,2018,2020,2018;2019;2020
Magic (Zhou Jun-Xuan),Tencent LoL Pro League,2018,2019,2018;2019
MaiX,Tencent LoL Pro League,2019,2019,2019
Maizijian,Tencent LoL Pro League,2015,2015,2015
Malrang,LoL Champions Korea,2017,2021,2017;2019;2020;2021
MapSSi,LoL Champions Korea,2021,2021,2021
Maple (Huang Yi-Tang),Tencent LoL Pro League,2019,2022,2019;2020;2022
Marge,Tencent LoL Pro League,2016,2017,2016;2017
Mark (Ling Xu),Tencent LoL Pro League,2019,2024,2019;2020;2021;2022;2023;2024
Martin (Tan Qi),Tencent LoL Pro League,2015,2018,2015;2016;2018
Mata,LoL Champions Korea,2017,2019,2017;2018;2019
Mata,Tencent LoL Pro League,2015,2016,2015;2016
Max (Jeong Jong-bin),LoL Champions Korea,2016,2018,2016;2017;2018
Meiko,Tencent LoL Pro League,2015,2024,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Melody (Liu Yi-Fan),Tencent LoL Pro League,2020,2020,2020
Melon (Zhong Wang),Tencent LoL Pro League,2018,2018,2018
Memory,Tencent LoL Pro League,2016,2016,2016
Meteor,Tencent LoL Pro League,2019,2024,2019;2020;2021;2023;2024
Mia,LoL Champions Korea,2020,2020,2020
Miaoniu,Tencent LoL Pro League,2022,2022,2022
Michi,Tencent LoL Pro League,2021,2021,2021
Mickey (Son Young-min),LoL Champions Korea,2016,2020,2016;2017;2020
Mightybear,LoL Champions Korea,2017,2018,2017;2018
Mihile,LoL Champions Korea,2024,2024,2024
Milkyway,Tencent LoL Pro League,2024,2024,2024
Ming (Shi Sen-Ming),Tencent LoL Pro League,2017,2024,2017;2018;2019;2020;2021;2022;2023;2024
Mint,Tencent LoL Pro League,2017,2017,2017
Mir (Park Mi-reu),LoL Champions Korea,2021,2021,2021
Mireu,LoL Champions Korea,2020,2020,2020
Missia,Tencent LoL Pro League,2021,2021,2021
Mitsuki,Tencent LoL Pro League,2019,2020,2019;2020
Mlxg,Tencent LoL Pro League,2015,2018,2015;2016;2017;2018
Mni,Tencent LoL Pro League,2019,2019,2019
Mo,Tencent LoL Pro League,2017,2017,2017
Moham,LoL Champions Korea,2022,2024,2022;2023;2024
Mole,Tencent LoL Pro League,2018,2023,2018;2019;2020;2021;2022;2023
Monki,Tencent LoL Pro League,2024,2024,2024
MooJin,LoL Champions Korea,2019,2019,2019
Moon (Gu Yue-Ze-Yu),Tencent LoL Pro League,2016,2016,2016
Mor,Tencent LoL Pro League,2015,2017,2015;2016;2017
Morgan,LoL Champions Korea,2021,2024,2021;2022;2023;2024
Morgan,Tencent LoL Pro League,2019,2020,2019;2020
Mortred,Tencent LoL Pro League,2016,2016,2016
Motive,LoL Champions Korea,2018,2018,2018
Mountain (Xue Zhao-Hong),Tencent LoL Pro League,2018,2018,2018
Mouse,Tencent LoL Pro League,2015,2018,2015;2016;2017;2018
Mowgli,LoL Champions Korea,2017,2018,2017;2018
Moyan,Tencent LoL Pro League,2022,2024,2022;2024
Moyu,Tencent LoL Pro League,2017,2019,2017;2018;2019
Mystic,LoL Champions Korea,2020,2020,2020
Mystic,Tencent LoL Pro League,2015,2019,2015;2016;2017;2018;2019
NaMei,Tencent LoL Pro League,2015,2016,2015;2016
Naehyun,LoL Champions Korea,2019,2020,2019;2020
Naiyou,Tencent LoL Pro League,2024,2024,2024
Nanzhu,Tencent LoL Pro League,2018,2018,2018
Natz,Tencent LoL Pro League,2017,2017,2017
Neny,Tencent LoL Pro League,2021,2024,2021;2022;2023;2024
New,Tencent LoL Pro League,2018,2022,2018;2020;2021;2022
Newt,Tencent LoL Pro League,2018,2018,2018
Niket,Tencent LoL Pro League,2024,2024,2024
Ning,Tencent LoL Pro League,2017,2023,2017;2018;2019;2020;2023
Ninja,Tencent LoL Pro League,2015,2015,2015
Noah (Oh Hyeon-taek),LoL Champions Korea,2021,2021,2021
Nova (Park Chan-ho),LoL Champions Korea,2018,2019,2018;2019
Nuclear,LoL Champions Korea,2016,2020,2016;2019;2020
Nuguri,LoL Champions Korea,2019,2022,2019;2020;2022
Nuguri,Tencent LoL Pro League,2021,2021,2021
ON,Tencent LoL Pro League,2021,2024,2021;2022;2023;2024
OTTO (Hou Guo-Yu),Tencent LoL Pro League,2016,2019,2016;2019
Ohq,Tencent LoL Pro League,2017,2017,2017
OnFleek,LoL Champions Korea,2019,2022,2019;2020;2021;2022
Oner,LoL Champions Korea,2021,2024,2021;2022;2023;2024
Ophelia,LoL Champions Korea,2022,2022,2022
POUT,Tencent LoL Pro League,2023,2023,2023
Paduck,LoL Champions Korea,2023,2024,2023;2024
PandaC,Tencent LoL Pro League,2022,2022,2022
Papillon,Tencent LoL Pro League,2017,2017,2017
Part,LoL Champions Korea,2016,2017,2016;2017
Patch (Han Seung-min),Tencent LoL Pro League,2021,2021,2021
PawN,LoL Champions Korea,2017,2019,2017;2018;2019
PawN,Tencent LoL Pro League,2015,2016,2015;2016
Peace (Lin Shang-Ren),Tencent LoL Pro League,2021,2021,2021
Peach,LoL Champions Korea,2022,2022,2022
Peanut,LoL Champions Korea,2016,2024,2016;2017;2018;2019;2021;2022;2023;2024
Peanut,Tencent LoL Pro League,2020,2020,2020
Peng (Peng Yi-Bo),Tencent LoL Pro League,2015,2017,2015;2017
Penguin (Zhao Shuai),Tencent LoL Pro League,2019,2019,2019
PentaQ,Tencent LoL Pro League,2016,2017,2016;2017
PerfecT (Lee Seung-min),LoL Champions Korea,2023,2024,2023;2024
Peter (Jeong Yoon-su),LoL Champions Korea,2022,2024,2022;2023;2024
Peyz,LoL Champions Korea,2023,2024,2023;2024
Photic,Tencent LoL Pro League,2020,2024,2020;2022;2023;2024
Pilot (Na Woo-hyung),LoL Champions Korea,2016,2018,2016;2018
Ping,Tencent LoL Pro League,2017,2018,2017;2018
Pinz,Tencent LoL Pro League,2023,2023,2023
Pirean,LoL Champions Korea,2018,2018,2018
Pleata,LoL Champions Korea,2021,2024,2021;2023;2024
Poby,LoL Champions Korea,2023,2023,2023
Poge,Tencent LoL Pro League,2019,2020,2019;2020
Pollu,LoL Champions Korea,2024,2024,2024
Poss,Tencent LoL Pro League,2019,2019,2019
Ppgod,Tencent LoL Pro League,2020,2024,2020;2021;2022;2023;2024
Pqy,Tencent LoL Pro League,2020,2021,2020;2021
PraY,LoL Champions Korea,2016,2019,2016;2017;2018;2019
Prince (Lee Chae-hwan),LoL Champions Korea,2018,2022,2018;2019;2021;2022
Prince (Lee Chae-hwan),Tencent LoL Pro League,2024,2024,2024
Profit,LoL Champions Korea,2017,2017,2017
Proud,LoL Champions Korea,2019,2019,2019
Prove (Son Min-hyeong),LoL Champions Korea,2022,2022,2022
Puff (Ding Wang),Tencent LoL Pro League,2019,2022,2019;2020;2021;2022
Pullbae,LoL Champions Korea,2024,2024,2024
Punch,LoL Champions Korea,2017,2020,2017;2019;2020
Pure,LoL Champions Korea,2016,2016,2016
Pyl (Chen Bo),Tencent LoL Pro League,2015,2019,2015;2016;2017;2018;2019
Pyosik,LoL Champions Korea,2020,2024,2020;2021;2022;2024
Pzx,Tencent LoL Pro League,2021,2021,2021
Qing,Tencent LoL Pro League,2023,2023,2023
QingSi,Tencent LoL Pro League,2016,2016,2016
Qingtian,Tencent LoL Pro League,2021,2024,2021;2022;2023;2024
QiuQiu (Zhang Ming),Tencent LoL Pro League,2017,2024,2017;2018;2019;2020;2021;2022;2023;2024
Quad,LoL Champions Korea,2020,2023,2020;2021;2023
Quantum (Son Jeong-hwan),LoL Champions Korea,2024,2024,2024
Quid,LoL Champions Korea,2022,2022,2022
RD,Tencent LoL Pro League,2018,2019,2018;2019
Rahel,LoL Champions Korea,2023,2023,2023
Rain (An Hyeon-guk),Tencent LoL Pro League,2016,2016,2016
Raise,LoL Champions Korea,2017,2018,2017;2018
Raphael (Ko Jae-hyun),Tencent LoL Pro League,2015,2016,2015;2016
Raptor (Jeon Eo-jin),LoL Champions Korea,2022,2024,2022;2024
Rascal,LoL Champions Korea,2017,2024,2017;2018;2019;2020;2021;2022;2023;2024
Rather,LoL Champions Korea,2018,2018,2018
Ray,LoL Champions Korea,2020,2020,2020
Ray,Tencent LoL Pro League,2015,2019,2015;2018;2019
ReGank,Tencent LoL Pro League,2018,2018,2018
Reven (Seong Sang-hyeon),Tencent LoL Pro League,2016,2016,2016
Rich (Lee Jae-won),LoL Champions Korea,2019,2021,2019;2020;2021
Rich (Lee Jae-won),Tencent LoL Pro League,2022,2023,2022;2023
Rio,Tencent LoL Pro League,2017,2017,2017
Rise (Zhang Sheng),Tencent LoL Pro League,2022,2022,2022
Roach,LoL Champions Korea,2016,2020,2016;2017;2018;2019;2020
Road (Yun Han-gil),Tencent LoL Pro League,2016,2019,2016;2017;2018;2019
Romantic,Tencent LoL Pro League,2016,2016,2016
Rookie,Tencent LoL Pro League,2015,2024,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Route,LoL Champions Korea,2019,2021,2019;2020;2021
Ruby (Lee Sol-min),Tencent LoL Pro League,2020,2020,2020
Ruler,LoL Champions Korea,2016,2022,2016;2017;2018;2019;2020;2021;2022
Ruler,Tencent LoL Pro League,2023,2024,2023;2024
Ruo (Teng Yang-Tian-Xia),Tencent LoL Pro League,2015,2015,2015
Rush,LoL Champions Korea,2018,2018,2018
SSUN (Kim Tae-yang),LoL Champions Korea,2019,2020,2019;2020
SaSin,LoL Champions Korea,2016,2016,2016
SamD,LoL Champions Korea,2022,2022,2022
SamD,Tencent LoL Pro League,2020,2021,2020;2021
Samver,LoL Champions Korea,2024,2024,2024
San (Guo Jun-Liang),Tencent LoL Pro League,2015,2015,2015
Sanghyeon,LoL Champions Korea,2020,2020,2020
Sangyoon,LoL Champions Korea,2016,2019,2016;2017;2018;2019
Sask,Tencent LoL Pro League,2015,2016,2015;2016
Save,Tencent LoL Pro League,2015,2016,2015;2016
Savoki,Tencent LoL Pro League,2016,2017,2016;2017
Score,LoL Champions Korea,2016,2019,2016;2017;2018;2019
Scout,LoL Champions Korea,2016,2016,2016
Scout,Tencent LoL Pro League,2016,2024,2016;2017;2018;2019;2020;2021;2022;2023;2024
SeTab,LoL Champions Korea,2022,2024,2022;2024
Secret (Park Ki-sun),LoL Champions Korea,2016,2020,2016;2017;2018;2020
Seize,LoL Champions Korea,2019,2019,2019
SeongHwan,LoL Champions Korea,2016,2019,2016;2017;2018;2019
Shad0w,Tencent LoL Pro League,2021,2023,2021;2022;2023
Shanji,Tencent LoL Pro League,2022,2024,2022;2023;2024
Shanks,Tencent LoL Pro League,2021,2024,2021;2022;2023;2024
Shaoye,Tencent LoL Pro League,2024,2024,2024
Sheer,Tencent LoL Pro League,2024,2024,2024
Shenyi,Tencent LoL Pro League,2021,2021,2021
ShiauC,Tencent LoL Pro League,2020,2024,2020;2021;2022;2024
ShowMaker,LoL Champions Korea,2019,2024,2019;2020;2021;2022;2023;2024
Shupian,Tencent LoL Pro League,2017,2017,2017
Shy,LoL Champions Korea,2016,2017,2016;2017
SinkDream,Tencent LoL Pro League,2015,2015,2015
Sky (Kim Ha-neul),LoL Champions Korea,2016,2016,2016
Skye,Tencent LoL Pro League,2015,2017,2015;2017
Smeb,LoL Champions Korea,2016,2020,2016;2017;2018;2019;2020
Smlz,Tencent LoL Pro League,2015,2022,2015;2016;2017;2018;2019;2020;2021;2022
Snoopy (Yang Yeo-myeong),Tencent LoL Pro League,2016,2016,2016
Snow (Wu Hao-Shun),Tencent LoL Pro League,2018,2018,2018
SnowFlower,LoL Champions Korea,2016,2022,2016;2017;2019;2022
SoHwan,LoL Champions Korea,2016,2020,2016;2017;2018;2019;2020
SoaR,LoL Champions Korea,2016,2016,2016
Soboro,LoL Champions Korea,2022,2022,2022
SofM,Tencent LoL Pro League,2016,2022,2016;2017;2018;2019;2020;2021;2022
Solokill,Tencent LoL Pro League,2024,2024,2024
Sora (Liu Zhi-Long),Tencent LoL Pro League,2020,2020,2020
Soul (Seo Hyeon-seok),LoL Champions Korea,2016,2016,2016
Soul (Zhou Feng),Tencent LoL Pro League,2016,2017,2016;2017
Southwind,Tencent LoL Pro League,2019,2023,2019;2020;2022;2023
Spirit,LoL Champions Korea,2017,2020,2017;2018;2019;2020
Spirit,Tencent LoL Pro League,2015,2015,2015
Sponge,LoL Champions Korea,2024,2024,2024
Ss17,Tencent LoL Pro League,2016,2016,2016
Ssol,LoL Champions Korea,2016,2020,2016;2017;2018;2019;2020
Ssumday,LoL Champions Korea,2016,2016,2016
Starlight,Tencent LoL Pro League,2017,2017,2017
Starry,Tencent LoL Pro League,2024,2024,2024
Stay (Guo Yi-Yang),Tencent LoL Pro League,2021,2024,2021;2022;2024
Stitch,LoL Champions Korea,2016,2019,2016;2017;2019
Strive,Tencent LoL Pro League,2022,2023,2022;2023
Styz,Tencent LoL Pro League,2015,2016,2015;2016
Summit,LoL Champions Korea,2019,2021,2019;2020;2021
Summit,Tencent LoL Pro League,2022,2022,2022
Sw0rd,LoL Champions Korea,2018,2022,2018;2019;2020;2022
Sweet (Lee Eun-teak),LoL Champions Korea,2016,2016,2016
Swift,Tencent LoL Pro League,2015,2018,2015;2016;2017;2018
SwordArt,Tencent LoL Pro League,2019,2023,2019;2020;2022;2023
Sylvie,LoL Champions Korea,2022,2024,2022;2023;2024
TaNa,LoL Champions Korea,2019,2019,2019
Tabe,Tencent LoL Pro League,2016,2016,2016
Taeyoon (Kim Tae-yoon),LoL Champions Korea,2021,2024,2021;2022;2023;2024
Tale,Tencent LoL Pro League,2015,2015,2015
Tangyuan,Tencent LoL Pro League,2023,2024,2023;2024
Tank,Tencent LoL Pro League,2016,2017,2016;2017
Tarzan (Lee Seung-yong),LoL Champions Korea,2018,2020,2018;2019;2020
Tarzan (Lee Seung-yong),Tencent LoL Pro League,2021,2024,2021;2022;2023;2024
Tbq,Tencent LoL Pro League,2015,2017,2015;2016;2017
Teacherma,Tencent LoL Pro League,2020,2020,2020
Teddy,LoL Champions Korea,2017,2024,2017;2018;2019;2020;2021;2022;2023;2024
Teeen,Tencent LoL Pro League,2019,2021,2019;2021
Tempt,LoL Champions Korea,2016,2020,2016;2017;2018;2019;2020
Ten10,LoL Champions Korea,2022,2022,2022
Test Sup,LoL Champions Korea,2019,2019,2019
Thal,LoL Champions Korea,2018,2019,2018;2019
TheNiu,Tencent LoL Pro League,2024,2024,2024
TheShy,Tencent LoL Pro League,2017,2023,2017;2018;2019;2020;2021;2022;2023
Thesnake,Tencent LoL Pro League,2023,2024,2023;2024
Tian,Tencent LoL Pro League,2018,2024,2018;2019;2020;2021;2022;2023;2024
Tianzhen,Tencent LoL Pro League,2023,2024,2023;2024
Time (Tang Jing-Tai),Tencent LoL Pro League,2015,2016,2015;2016
Totoro (Eun Jong-seop),LoL Champions Korea,2016,2017,2016;2017
TrAce,LoL Champions Korea,2016,2016,2016
Trick,LoL Champions Korea,2018,2018,2018
Trigger (Kim Eui-joo),LoL Champions Korea,2020,2020,2020
Trigger (Kim Eui-joo),Tencent LoL Pro League,2021,2021,2021
Try,Tencent LoL Pro League,2016,2016,2016
TusiN,LoL Champions Korea,2017,2020,2017;2018;2019;2020
Twila,Tencent LoL Pro League,2019,2021,2019;2020;2021
U,Tencent LoL Pro League,2015,2015,2015
Ucal,LoL Champions Korea,2018,2021,2018;2019;2020;2021
Ucal,Tencent LoL Pro League,2022,2024,2022;2023;2024
UmTi,LoL Champions Korea,2017,2023,2017;2018;2019;2021;2022;2023
Uniboy,Tencent LoL Pro League,2021,2021,2021
Unicorn,Tencent LoL Pro League,2015,2016,2015;2016
Untara,LoL Champions Korea,2016,2020,2016;2017;2018;2020
Uzi (Jian Zi-Hao),Tencent LoL Pro League,2015,2023,2015;2016;2017;2018;2019;2022;2023
V,Tencent LoL Pro League,2015,2017,2015;2016;2017
Vampire,Tencent LoL Pro League,2024,2024,2024
Vas1lii,Tencent LoL Pro League,2015,2017,2015;2017
VicLa,LoL Champions Korea,2022,2022,2022
VicLa,Tencent LoL Pro League,2024,2024,2024
View,Tencent LoL Pro League,2021,2022,2021;2022
Viod (Lu Fan),Tencent LoL Pro League,2015,2015,2015
Viper (Park Do-hyeon),LoL Champions Korea,2018,2024,2018;2019;2020;2023;2024
Viper (Park Do-hyeon),Tencent LoL Pro League,2021,2022,2021;2022
Vital,LoL Champions Korea,2022,2024,2022;2023;2024
Vsta,LoL Champions Korea,2020,2022,2020;2021;2022
WXZ,Tencent LoL Pro League,2018,2018,2018
Water (Fu Hui),Tencent LoL Pro League,2018,2018,2018
Way (Han Gil),LoL Champions Korea,2023,2023,2023
Wayward,Tencent LoL Pro League,2022,2024,2022;2023;2024
Wei (Yan Yang-Wei),Tencent LoL Pro League,2020,2024,2020;2021;2022;2023;2024
WeiYan,Tencent LoL Pro League,2019,2020,2019;2020
Weiwei,Tencent LoL Pro League,2019,2024,2019;2020;2021;2022;2023;2024
Wen (Liao Wen-Wei),Tencent LoL Pro League,2023,2024,2023;2024
West,Tencent LoL Pro League,2017,2019,2017;2018;2019
Willer,LoL Champions Korea,2021,2024,2021;2022;2023;2024
Windy,Tencent LoL Pro League,2017,2019,2017;2019
Winged,LoL Champions Korea,2016,2016,2016
Wings (Wang Shu-Kai),Tencent LoL Pro League,2020,2020,2020
Wink,Tencent LoL Pro League,2019,2024,2019;2020;2021;2022;2023;2024
Wisdomz,Tencent LoL Pro League,2017,2018,2017;2018
Wiz,LoL Champions Korea,2018,2018,2018
Wizer,LoL Champions Korea,2019,2019,2019
Wolf (Lee Jae-wan),LoL Champions Korea,2016,2018,2016;2017;2018
World6,Tencent LoL Pro League,2015,2019,2015;2016;2017;2018;2019
Wraith,LoL Champions Korea,2016,2018,2016;2017;2018
WuShuang,Tencent LoL Pro League,2016,2017,2016;2017
Wuming (Wang Xin),Tencent LoL Pro League,2020,2021,2020;2021
Wuxx,Tencent LoL Pro League,2015,2017,2015;2016;2017
Wynn,Tencent LoL Pro League,2017,2020,2017;2020
X1u,Tencent LoL Pro League,2015,2016,2015;2016
X41007,Tencent LoL Pro League,2015,2016,2015;2016
XBY,Tencent LoL Pro League,2024,2024,2024
XBear,Tencent LoL Pro League,2024,2024,2024
XLB,Tencent LoL Pro League,2020,2023,2020;2022;2023
XQ,Tencent LoL Pro League,2016,2016,2016
Xero,Tencent LoL Pro League,2016,2016,2016
Xiaguang,Tencent LoL Pro League,2020,2020,2020
Xiamu,Tencent LoL Pro League,2024,2024,2024
Xiao7,Tencent LoL Pro League,2021,2021,2021
XiaoYao,Tencent LoL Pro League,2019,2019,2019
Xiaoali,Tencent LoL Pro League,2017,2017,2017
Xiaobai,Tencent LoL Pro League,2020,2020,2020
Xiaocaobao,Tencent LoL Pro League,2021,2021,2021
Xiaofang,Tencent LoL Pro League,2024,2024,2024
Xiaohan (Pan Han),Tencent LoL Pro League,2018,2020,2018;2019;2020
Xiaohao,Tencent LoL Pro League,2021,2024,2021;2022;2023;2024
Xiaohu,Tencent LoL Pro League,2015,2024,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Xiaohuangren,Tencent LoL Pro League,2023,2023,2023
Xiaolaohu,Tencent LoL Pro League,2021,2024,2021;2022;2023;2024
Xiaopeng,Tencent LoL Pro League,2019,2022,2019;2020;2021;2022
Xiaoxiang,Tencent LoL Pro League,2020,2022,2020;2022
Xiaoxu,Tencent LoL Pro League,2023,2024,2023;2024
Xiaoyueji,Tencent LoL Pro League,2022,2024,2022;2023;2024
XinLiu,Tencent LoL Pro League,2019,2023,2019;2021;2022;2023
XinMo,Tencent LoL Pro League,2019,2020,2019;2020
Xing (Liu Jia-Xing),Tencent LoL Pro League,2022,2022,2022
Xintai,Tencent LoL Pro League,2018,2018,2018
Xiyang,Tencent LoL Pro League,2015,2019,2015;2016;2017;2018;2019
Xiye,Tencent LoL Pro League,2015,2022,2015;2016;2017;2018;2019;2020;2021;2022
Xqw,Tencent LoL Pro League,2023,2023,2023
XuanXuanPi,Tencent LoL Pro League,2015,2018,2015;2016;2017;2018
Xun,Tencent LoL Pro League,2021,2024,2021;2022;2023;2024
Xx (Xiong Yu-Long),Tencent LoL Pro League,2018,2020,2018;2019;2020
Xy,Tencent LoL Pro League,2016,2016,2016
Xzz,Tencent LoL Pro League,2024,2024,2024
Y1han,Tencent LoL Pro League,2017,2019,2017;2018;2019
Y4,Tencent LoL Pro League,2017,2021,2017;2018;2019;2020;2021
YSKM,Tencent LoL Pro League,2023,2024,2023;2024
Yagao,Tencent LoL Pro League,2018,2024,2018;2019;2020;2021;2022;2023;2024
Yaharong,LoL Champions Korea,2018,2021,2018;2019;2021
Yanxiang,Tencent LoL Pro League,2024,2024,2024
Yaoyao,Tencent LoL Pro League,2021,2023,2021;2022;2023
YeG,Tencent LoL Pro League,2021,2022,2021;2022
Yimeng,Tencent LoL Pro League,2021,2021,2021
Yohan,LoL Champions Korea,2021,2021,2021
Yolo (Jang Hyeon-su),Tencent LoL Pro League,2016,2016,2016
Yoon,Tencent LoL Pro League,2017,2018,2017;2018
Youdang,Tencent LoL Pro League,2018,2024,2018;2019;2020;2024
YoungJae,LoL Champions Korea,2020,2024,2020;2021;2022;2023;2024
Youxin,Tencent LoL Pro League,2021,2021,2021
Yu (Li Xin-Nan),Tencent LoL Pro League,2016,2016,2016
YuZhe,Tencent LoL Pro League,2015,2015,2015
Yuekai,Tencent LoL Pro League,2021,2024,2021;2022;2024
Yui,Tencent LoL Pro League,2020,2020,2020
Yuuki (Hu Hao-Ming),Tencent LoL Pro League,2018,2020,2018;2019;2020
Yuyanjia,Tencent LoL Pro League,2020,2023,2020;2021;2022;2023
ZUIAN,Tencent LoL Pro League,2024,2024,2024
ZWuJi,Tencent LoL Pro League,2019,2021,2019;2020;2021
ZangAo,Tencent LoL Pro League,2015,2015,2015
Zdz,Tencent LoL Pro League,2019,2024,2019;2021;2022;2023;2024
Zeka (Kim Geon-woo),LoL Champions Korea,2022,2024,2022;2023;2024
Zeka (Kim Geon-woo),Tencent LoL Pro League,2020,2021,2020;2021
Zenit,LoL Champions Korea,2019,2020,2019;2020
Zero (Yoon Kyung-sup),Tencent LoL Pro League,2015,2018,2015;2016;2017;2018
Zest (Kim Dong-min),LoL Champions Korea,2022,2022,2022
Zet,LoL Champions Korea,2016,2016,2016
Zet,Tencent LoL Pro League,2017,2017,2017
Zeus,LoL Champions Korea,2021,2024,2021;2022;2023;2024
Zhaoyun,Tencent LoL Pro League,2019,2019,2019
Zhiqiuyi,Tencent LoL Pro League,2023,2023,2023
Zhuo,Tencent LoL Pro League,2021,2024,2021;2022;2023;2024
Zika,Tencent LoL Pro League,2022,2024,2022;2023;2024
Ziv (Chen Yi),Tencent LoL Pro League,2021,2021,2021
Zoom,Tencent LoL Pro League,2018,2022,2018;2019;2020;2021;2022
Zorah,Tencent LoL Pro League,2022,2024,2022;2023;2024
Zs,Tencent LoL Pro League,2021,2022,2021;2022
Zz1tai,Tencent LoL Pro League,2015,2019,2015;2016;2017;2018;2019
Zzr,Tencent LoL Pro League,2015,2017,2015;2016;2017
Zzus,LoL Champions Korea,2016,2021,2016;2021
Zzz2,Tencent LoL Pro League,2015,2016,2015;2016
